,date,fiz_long,fiz_short,yur_long,yur_short,oi
311,2018-12-18,398366,80243,172032,490155,1140796
312,2019-01-08,159053,82744,197036,273345,712178
313,2019-01-15,423349,138114,205549,490784,1257796
314,2019-01-22,1011689,113201,197254,1095742,2417886
315,2019-01-29,1072299,146463,422121,1347957,2988840
316,2019-02-05,1102913,94965,211321,1219269,2628468
317,2019-02-12,1042014,204377,239070,1076707,2562168
318,2019-02-19,1010235,234538,239595,1015292,2499660
319,2019-02-26,1130587,148021,200804,1183370,2662782
320,2019-03-05,1199213,150836,191423,1239800,2781272
321,2019-03-12,1199389,191634,189784,1197539,2778346
322,2019-03-19,1222215,187815,190484,1224884,2825398
323,2019-03-26,1228278,258853,433654,1403079,3323864
324,2019-04-02,933150,233756,200694,900088,2267688
325,2019-04-09,660590,255472,12293,417411,1345766
326,2019-04-16,138816,262483,183983,60316,645598
327,2019-04-23,91369,315154,255967,32182,694672
328,2019-04-30,104297,218312,209640,95625,627874
329,2019-05-07,163521,160991,58357,60887,443756
330,2019-05-14,117465,201783,122074,37756,479078
331,2019-05-21,153911,185654,112822,81079,533466
332,2019-05-28,143358,185616,104294,62036,495304
333,2019-06-04,245308,93844,22511,173975,535638
334,2019-06-11,231623,109834,34416,156205,532078
335,2019-06-18,238628,154449,90540,174719,658336
336,2019-06-25,206589,136594,105586,175581,624350
337,2019-07-02,310536,64034,9577,256079,640226
338,2019-07-09,246195,122285,22208,146118,536806
339,2019-07-16,185589,198181,140284,127692,651746
340,2019-07-23,295398,146676,52113,200835,695022
341,2019-07-30,225637,158476,94904,162065,641082
342,2019-08-06,372153,126746,15340,260747,774986
343,2019-08-13,235589,284045,185032,136576,841242
344,2019-08-20,335164,154580,18869,199453,708066
345,2019-08-27,316812,191321,86105,211596,805834
346,2019-09-03,377663,124146,111559,365076,978444
347,2019-09-10,605291,243895,122655,484051,1455892
348,2019-09-17,1389940,125639,54811,1319112,2889502
349,2019-09-24,1425672,118286,254737,1562123,3360818
350,2019-10-01,1464337,58708,181533,1587162,3291740
351,2019-10-08,1309594,99003,244691,1455282,3108570
352,2019-10-15,1239741,143859,282600,1378482,3044682
353,2019-10-22,1215325,179425,271183,1307083,2973016
354,2019-10-29,1105335,211848,581613,1475100,3373896
355,2019-11-05,1053404,210145,143977,987236,2394762
356,2019-11-12,1254450,191208,164539,1227781,2837978
357,2019-11-19,1336005,128099,107470,1315376,2886950
358,2019-11-26,1241222,301634,225192,1164780,2932828
359,2019-12-03,1392801,78631,14939,1329109,2815480
360,2019-12-10,1196896,289276,42086,949706,2477964
361,2019-12-17,1174599,393883,65726,846442,2480650
362,2019-12-24,1168586,405675,49112,812023,2435396
363,2020-01-14,210124,135474,530542,605192,1481332
